ID,Cena,Metraż,Pokoje,Lokalizacja,Ulica,Typ,Bez Pośredników,Opis,Link
3879358,320000,43.0,2,Łódź Górna,ul. Łączna,Mieszkanie,Tak,"Na sprzedaż dwupokojowemieszkanie o powierzchni 43 m.kw. znajdujące się na 1. piętrze wieżowca przy ul. Łącznej w Łodzi, dzielnica Górna, osiedle Czerwony Rynek.

Mieszkanie nadaje się do remontu, co pozwala na jego pełną adaptację do własnych potrzeb i pomysłów.
Zdjęcia przedstawiają aktualny stan ...",https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-laczna-2-pokojowe-u5o4l5
3878768,370000,47.0,3,Łódź Górna,ul. Juliusza Kossaka,Mieszkanie,Tak,"Sprzedam 3- pokojowe mieszkanie położone na 6 piętrze wieżowca znajdującego się przy ul Juliusza Kossaka 17.
Lokal do remontu co daje możliwość własnej aranżacji. 
Nowa instalacja elektryczna.

Ekspozycja okien wschód  - zachód. dzięki czemu mieszkanie jest widne.

Brak podzielników ciepła

Czynsz -...",https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-juliusza-kossaka-3-pokojowe-d2z2i2
3878658,515000,62.0,3,Łódź Janów,ul. Jana Skrzetuskiego,Mieszkanie,Tak,"Na sprzedaż funkcjonalne, 3-pokojowe mieszkanie o powierzchni 62,44 m², zlokalizowane na Janowie przy ul. Skrzetuskiego, usytuowane na parterze.

Układ mieszkania:
- przestronny salon z wyjściem na duży balkon,
- 2 niezależne pokoje,
- oddzielna kuchnia,
- łazienka z dużą wanną,
- osobne WC.
Do mies...",https://adresowo.pl/o/mieszkanie-lodz-janow-ul-jana-skrzetuskiego-3-pokojowe-k5l8t9
3877928,424500,53.0,2,Łódź,Bałuty,Mieszkanie,Tak,"- Zamieszkaj w przestronnym mieszkania o powierzchni 53,1 m² na parterze.
Blok jest ogrodzony.
Posiada oddzielną kuchnię i balkon.
Wnętrza utrzymane w nowoczesnym stylu z podłogami wyłożonymi płytkami.
Bezpieczne drzwi antywłamaniowe i domofon zapewniają spokój.
Okna dodatkowo zabezpieczone są krata...",https://adresowo.pl/o/mieszkanie-lodz-baluty-2-pokojowe-53-m2-g5i8n1
3877624,377000,47.0,3,Łódź Zarzew,ul. Tatrzańska,Mieszkanie,Tak,"Sprzedam  3-pokojowe mieszkanie o powierzchni 47,22 m², położone na parterze w bloku 4-piętrowym ul. Tatrzańska 69 w Łodzi

Mieszkanie składa się z:
- przedpokoju
- salonu z przejściem do kuchni
- dwóch pokojów, jeden z wyjściem na balkon
- kuchni z zabudowaną wnęką
- łazienki z ubikacją
- dużej gar...",https://adresowo.pl/o/mieszkanie-lodz-zarzew-ul-tatrzanska-3-pokojowe-u6b6k7
3877480,640000,40.0,1,Łódź Widzew,al. marsz. Józefa Piłsudskiego,Mieszkanie,Tak,"Na sprzedaż oferuję mieszkanie zlokalizowane na nowo powstającym osiedlu WIMA w Łodzi. Jest to unikalna inwestycja powstająca na terenach dawnej fabryki bawełny, która łączy industrialną historię miejsca z nowoczesną architekturą loftową. Kompleks jest otoczony parkiem, co sprzyjaja wypoczynkowi i r...",https://adresowo.pl/o/mieszkanie-lodz-widzew-al-marsz-jozefa-pilsudskiego-1-pokoj-m1u9r6
3877474,375000,52.0,3,Łódź Teofilów,ul. Rojna,Mieszkanie,Tak,"BEZPOŚREDNIO SPRZEDAM przytulne 3-pokojowe mieszkanie do remontu na łódzkim Teofilowie.

Mieszkanie rozkładowe. Składa się z: 3 pokoi, łazienki z WC, kuchni, przedpokoju i balkonu.

Do mieszkania przynależy również komórka lokatorska w piwnicy.

Lokalizacja to jeden z największych atutów.

Teofilów ...",https://adresowo.pl/o/mieszkanie-lodz-teofilow-ul-rojna-3-pokojowe-q5y6e3
3876374,265000,37.0,2,Łódź Bałuty,al. Pasjonistów,Mieszkanie,Tak,"Mieszkanie w zależności od wymagań: do zamieszkania lub odświeżenia. Dwa pokoje kuchnia z oknami na zachód. Blok po gruntownym remoncie elewacji, balkon ponownie wykonany i jako jedyny zadaszony. W pobliżu przystanki autobusowe, sklepy , przedszkola , szkoły, basen i boiska . Komórka w piwnicy  2,5/...",https://adresowo.pl/o/mieszkanie-lodz-baluty-al-pasjonistow-2-pokojowe-o0e4l5
3876048,369000,40.0,2,Łódź Polesie,ul. Srebrzyńska,Mieszkanie,Tak,"Sprzedam mieszkanie dwupokojowe z balkonem w stanie deweloperskim.

Piętro 9.
Łódź ul. Srebrzyńska 12.

Blisko centrum miasta / Manufaktury / niedaleko budowanego przystanku kolejowego Łódź Polesie.

Wystawa okien - zachód.
Oddane do użytku styczeń 2025.

Salon z aneksem: 19.04 m2
Przedpokój: 2.49 m...",https://adresowo.pl/o/mieszkanie-lodz-polesie-ul-srebrzynska-2-pokojowe-t1e1q3
3875634,320000,34.0,2,Łódź Bałuty,ul. Podrzeczna,Mieszkanie,Tak,"Na sprzedaż 2-pokojowe mieszkanie o powierzchni 34 m², położone na 1. piętrze w bloku po termomodernizacji, w jednej z najbardziej pożądanych lokalizacji w Łodzi – bezpośrednio naprzeciwko Manufaktury.



+ Układ mieszkania:

- 2 ustawne pokoje

- kuchnia

- korytarz

- łazienka

- komórka lokatorsk...",https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-podrzeczna-2-pokojowe-e1e0b8
