ID,Cena,Metraż,Pokoje,Lokalizacja,Ulica,Typ,Bez Pośredników,Opis,Link
3923778,699000,38.0,1,Kraków Bronowice,ul. Eljasza Walerego Radzikowskiego,Mieszkanie,Tak,"Oferuję na sprzedaż wygodne mieszkanie o powierzchni 38 m².

Mieszkanie składa się z:
- Przedpokój
- Pokój dzienny z wydzieloną przestrzenią do spania
- Aneks kuchenny
- Łazienka
- Balkon
- Komórka lokatorska 4,25m²

Dostępne od zaraz. Mieszkanie znajduje się na trzecim piętrze apartamentowca.

Opis...",https://adresowo.pl/o/mieszkanie-krakow-bronowice-ul-eljasza-walerego-radzikowskiego-1-pokoj-i4l6o5
3923642,719000,55.0,2,Kraków Nowa Huta,os. Kolorowe,Mieszkanie,Tak,"Mieszkanie składa się z:
- przestronnego pokoju (19,3m2)
- pokoju (14,5m2)
- przedpokoju (6,1m2)
- kuchni z jadalnią (10,6m2)
- łazienki (5m2).

Do większego pokoju przylega loggia z ekspozycją na stronę południową.
Do kuchni przylega drugi balkon skierowany na stronę północną.

Dodatkowo do mieszka...",https://adresowo.pl/o/mieszkanie-krakow-nowa-huta-os-kolorowe-2-pokojowe-h2l6x3
3922954,675000,46.0,3,Kraków Bieńczyce,ul. Obrońców Krzyża,Mieszkanie,Tak,"Na sprzedaż 3-pokojowe mieszkanie na osiedlu Przy Arce w Bieńczycach.

Salon połączony z kuchnią tworzy nowoczesną aranżację typową dla nowych mieszkań. Dodatkowo balkon oraz piwnica.

Mieszkanie dwustronne z sypialniami na południowy-zachód i salonem na północny-wschód.

Mieszkanie na pierwszym pię...",https://adresowo.pl/o/mieszkanie-krakow-bienczyce-ul-obroncow-krzyza-3-pokojowe-e6f0u1
3920366,570000,40.0,1,Kraków Dębniki,ul. Drukarska,Mieszkanie,Nie,"| 
   Gotowe do zamieszkania! Przytulne mieszkanie z balkonem blisko Kampusu UJ    
 
 Nieruchomości Bracia Sadurscy  mają przyjemność przedstawić przytulne mieszkanie w spokojnej okolicy w Krakowie. Nieruchomość o powierzchni 40,58 m2, składa się z: salonu z wyjściem na balkon, osobnej kuchni z okn...",https://adresowo.pl/o/mieszkanie-krakow-debniki-ul-drukarska-1-pokoj-a3k5i0
3919126,899000,94.0,5,Kraków,Rybitwy,Mieszkanie,Nie,"Mieszkanie | 95m²| 5 pokoi | Pietro i poddasze

Na sprzedaż funkcjonalne, dwupoziomowe, 5-pokojowe mieszkanie o powierzchni 95m² , położone w kameralnym, nowoczesnym kompleksie mieszkaniowym obejmującym zarówno lokale w budynkach wielorodzinnych, jak i domy w zabudowie bliźniaczej. Inwestycja został...",https://adresowo.pl/o/mieszkanie-krakow-rybitwy-5-pokojowe-94-m2-p2s9c6
3922814,400000,24.0,1,Kraków Śródmieście,ul. Bronowicka,Mieszkanie,Tak,"Sprzedam w pelni umeblowana i funkcjonalna kawalerke w centrum krakowa ( ul. Bronowicka 69 ) , z superkomfortowa lazienka z wanna przedpokojem mini kuchnia latwy dojazd do serca miasta * tramwaj autobus lub samochod, miejsce parkingowe , piwnica , pomieszczenie ns strychu tez . Dodam listwe zasilaja...",https://adresowo.pl/o/mieszkanie-krakow-srodmiescie-ul-bronowicka-1-pokoj-s8d5z6
3922602,630000,36.0,2,Kraków Podgórze,ul. Na Zakolu Wisły,Mieszkanie,Tak,"OFERTA BEZPOŚREDNIO OD WŁAŚCICIELA !

NA SPRZEDAŻ 2 POKOJOWE MIESZKANIE 36,82m² Z DUŻYM BALKONEM ORAZ KLIMATYZACJĄ, KRAKÓW UL. NA ZAKOLU WISŁY

Na sprzedaż zadbane mieszkanie znajdujące się na 4. piętrze w 7-piętrowym budynku z 2016 roku z windą. Mieszkanie jest idealną propozycją dla singla, pary l...",https://adresowo.pl/o/mieszkanie-krakow-podgorze-ul-na-zakolu-wisly-2-pokojowe-v3g2v6
3922384,885000,57.0,4,Kraków Mistrzejowice,os. Piastów,Mieszkanie,Tak,"Sprzedam mieszkanie w bloku na Osiedlu Piastów w Krakowie. Po generalnym remoncie. Miejsce ciche i idealnie nadające się do zamieszkania.

Mieszkanie składa się z:
- Przedpokoju
- 4 pokoi (Do każdego pokoju osobne wejście z drzwiami)
- Osobnej łazienki
- Osobnej kuchni
- Balkonu

Powierzchnia dodatk...",https://adresowo.pl/o/mieszkanie-krakow-mistrzejowice-os-piastow-4-pokojowe-t7u4s4
3918530,799000,78.0,4,Kraków,Branice,Mieszkanie,Nie,"Mieszkanie | 79m² | 4 pokoje | piętro i poddasze 

Na sprzedaż funkcjonalne,  dwupoziomowe, 4-pokojowe mieszkanie o powierzchni 79m² , położone w kameralnym, nowoczesnym kompleksie mieszkaniowym obejmującym zarówno lokale w budynkach wielorodzinnych, jak i domy w zabudowie bliźniaczej. Inwestycja zo...",https://adresowo.pl/o/mieszkanie-krakow-branice-4-pokojowe-78-m2-l6t1n1
3918520,709000,56.0,3,Kraków Podgórze,ul. Łużycka,Mieszkanie,Nie,"Przestronne 3 pokoje | Osobna jasna kuchnia | Balkon | Parking za szlabanem
Łużycka| 56,10 m² | 7 piętro | Dwustronne
Na sprzedaż przytulne i funkcjonalne mieszkanie 3-pokojowe o powierzchni 56,10 m², położone na 7. piętrze zadbanego bloku z lat 70-tych. Lokal wyróżnia się bardzo dobrym, rozkładowym...",https://adresowo.pl/o/mieszkanie-krakow-podgorze-ul-luzycka-3-pokojowe-w1b7w3
